id,color,palette
1,70,1
2,71,1
3,72,1
4,73,1
5,74,1
6,66,2
7,12,2
8,67,2
9,68,2
10,69,2
11,62,3
12,12,3
13,63,3
14,64,3
15,65,3
16,58,4
17,12,4
18,59,4
19,60,4
20,61,4
21,53,5
22,54,5
23,55,5
24,56,5
25,57,5
26,49,6
27,12,6
28,50,6
29,51,6
30,52,6
31,44,7
32,45,7
33,46,7
34,47,7
35,48,7
36,40,8
37,12,8
38,41,8
39,42,8
40,43,8
41,36,9
42,37,9
43,38,9
44,12,9
45,39,9
46,31,10
47,32,10
48,33,10
49,34,10
50,35,10
51,27,11
52,12,11
53,28,11
54,29,11
55,30,11
56,24,12
57,25,12
58,26,12
59,12,12
60,26,12
61,20,13
62,12,13
63,21,13
64,22,13
65,23,13
66,16,14
67,12,14
68,17,14
69,18,14
70,19,14
71,11,15
72,12,15
73,13,15
74,14,15
75,15,15
76,6,16
77,7,16
78,8,16
79,9,16
80,10,16
